from,to,relationship
UvdL,500,1
UvdL,CDU,2
LK,500,1
LK,SPD,2
NR,500,1
NR,CDU,2
SW,500,1
SW,Linke,2
CL,501,1
CL,FDP,2
NR,501,1
NR,CDU,2
AB,502,1
AB,Grüne,2
AGL,502,1
AGL,FDP,2
RH,503,1
RH,Grüne,2
LK,503,1
LK,SPD,2
RS,503,1
RS,CDU,2
